course_code,course_name,professor_name,department,url
ANTH-UA 326,Introduction to Forensic Anthropology,Susan Anton at New York University | Rate My Professors,"ANTHUA326. Apr 28th, 2018. Quality. 5.0 ... By far the best professor I've had at NYU - Professor Anton is the reason I changed my major to Anthropology.",https://www.ratemyprofessors.com/professor/610811
ANTH-UA 326,Introduction to Forensic Anthropology,Jennifer Trowbridge at New York University | Rate My Professors,"ANTHUA326. May 16th, 2023. For Credit: Yes. Attendance: Mandatory. Would Take Again: Yes. Grade: A. Textbook: Yes. One of the most caring professor at NYU!!",https://www.ratemyprofessors.com/professor/2563665
ANTH-UA 326,Introduction to Forensic Anthropology,Alejandra Rivarola at New York University | Rate My Professors,"ANTHUA326. Jan 22nd, 2022. Quality. 3.0. Difficulty. 4.0. ANTHUA326. Jan 22nd, 2022 ... Rivarola was the sweetest prof I had at NYU so far, but the course does ...",https://www.ratemyprofessors.com/professor/2657451
ANTH-UA 326,Introduction to Forensic Anthropology,Carrie Wright at New York University | Rate My Professors,"Carrie Wright is a professor in the Anthropology amp Geo Sciences department at New York University ... ANTHUA326. Jun 19th, 2022. Quality. 5.0. Difficulty. 3.0.",https://www.ratemyprofessors.com/professor/2679864
CHEM-UA 140,Mathematics of Chemistry,Alexej Jerschow at New York University | Rate My Professors,"MATH FOR CHEM (CHEM140) goes exactly by the textbook, not the best explainer ... Probably the worst teacher I have had at NYU. Seems confused during ...",https://www.ratemyprofessors.com/professor/1919693
CORE-UA 107,"Quantitative Reasoning: Problems, Statistics, & Decision Making",Mutiara Sondjaja at New York University | Rate My Professors,"COREUA107. May 20th, 2021. For Credit: Yes. Attendance: Mandatory. Would Take Again: No. Textbook: No. By far the worst instructor I had at NYU. She seems kind ...",https://www.ratemyprofessors.com/professor/1947082
CORE-UA 107,"Quantitative Reasoning: Problems, Statistics, & Decision Making",Trushant Majmudar at New York University | Rate My Professors,"Probably one of the most simple NYU math classes, and Majmudar was a fine professor ... COREUA107. Oct 9th, 2024. Quality. 4.0. Difficulty. 4.0. Computer Icon ...",https://www.ratemyprofessors.com/professor/1618851
CORE-UA 107,"Quantitative Reasoning: Problems, Statistics, & Decision Making",Hesam Oveys at New York University | Rate My Professors,"Hesam Oveys is a professor in the Mathematics department at New York University ... COREUA107. Dec 10th, 2024. Quality. 5.0. Difficulty. 3.0. COREUA107. Dec 10th, ...",https://www.ratemyprofessors.com/professor/2228255
CORE-UA 107,"Quantitative Reasoning: Problems, Statistics, & Decision Making",Drew Youngren at New York University | Rate My Professors,"Drew Youngren is a professor in the Mathematics department at New York University ... CORE107. Dec 12th, 2015. Quality. 4.5. Difficulty. 2.0. CORE107. Dec 12th, ...",https://www.ratemyprofessors.com/professor/1807286
CSCD-UE 110,Science of Language,Adam Buchwald at New York University | Rate My Professors,"CSCDUE110. Mar 31st, 2025. Quality. 4.0. Difficulty. 3.0. CSCDUE110. Mar 31st, 2025 ... CSCD110. Dec 14th, 2024. Quality. 3.0. Difficulty. 4.0. CSCD110. Dec 14th ...",https://www.ratemyprofessors.com/professor/1067900
CSCD-UE 110,Science of Language,Stacey Rimikis at New York University | Rate My Professors,"Similar Professors · CSCD110. Oct 23rd, 2024. Quality. 5.0. Difficulty. 3.0. CSCD110 · CSCD110. Jun 29th, 2023. Quality. 5.0. Difficulty. 2.0. CSCD110 · CSCDUE110.",https://www.ratemyprofessors.com/professor/2329305
CSCD-UE 110,Science of Language,Susannah Levi at New York University | Rate My Professors,"CSCD110. May 28th, 2022. Quality. 4.0. Difficulty. 2.0. CSCD110. May 28th ... This is only my second semester at NYU/the CSD program and Levi is the only ...",https://www.ratemyprofessors.com/professor/1235218
MATH-UA 144,Introduction to Computer Simulation,Charles Peskin at New York University | Rate My Professors,"Charles Peskin is a professor in the Mathematics department at New York University ... MATHUA144. Feb 19th, 2025. Quality. 5.0. Difficulty. 4.0. MATHUA144. Feb ...",https://www.ratemyprofessors.com/professor/691972
ME-UY 2813,Introduction to Materials Science,Rakesh Behera at NYU Tandon School of Engineering | Rate My ...,"Similar Professors · MEUY2813. Jan 26th, 2025. Quality. 4.0. Difficulty. 2.0. MEUY2813 · MEUY2813. Jan 19th, 2025. Quality. 5.0. Difficulty. 2.0. MEUY2813 · ME2813.",https://www.ratemyprofessors.com/professor/2300173
ME-UY 2813,Introduction to Materials Science,Nikhil Gupta at NYU Tandon School of Engineering | Rate My ...,"Nikhil Gupta is a professor in the Materials Science department at NYU ... ME2813. Sep 1st, 2022. Quality. 1.0. Difficulty. 5.0. ME2813. Sep 1st, 2022. For ...",https://www.ratemyprofessors.com/professor/1583136
ME-UY 2813,Introduction to Materials Science,Said Nourbakhsh at NYU Tandon School of Engineering | Rate My ...,"Said Nourbakhsh is a professor in the Mechanical Engineering department at NYU ... ME2813. Feb 8th, 2018. Quality. 4.0. Difficulty. 2.0. ME2813. Feb 8th, 2018.",https://www.ratemyprofessors.com/professor/1709186
NUTR-UE 119,Nutrition and Health,Hannah Husby at New York University | Rate My Professors,"NUTRUE119. Apr 2nd, 2025. Quality. 5.0 ... One great professor that you will find at NYU, only teaches one class so very accessible outside of class.",https://www.ratemyprofessors.com/professor/2739209
NUTR-UE 119,Nutrition and Health,Lisa R. Young at New York University | Rate My Professors,"Lisa R. Young is a professor in the Health Science department at New York University ... NUTRUE119. Jan 13th, 2022. Quality. 3.0. Difficulty. 2.0. Computer Icon ...",https://www.ratemyprofessors.com/professor/433829
NUTR-UE 119,Nutrition and Health,Ethan Balk at New York University | Rate My Professors,"Ethan Balk is a professor in the Nutrition & Foods department at New York University ... NUTRUE-119. Jan 12th, 2025. Quality. 5.0. Difficulty. 2.0. NUTRUE-119.",https://www.ratemyprofessors.com/professor/3012316
NUTR-UE 119,Nutrition and Health,Mitchell Zandes at New York University | Rate My Professors,"Mitchell Zandes is a professor in the Nutrition amp Foods department at New York University ... NUTR119. May 17th, 2024. Quality. 5.0. Difficulty. 1.0. NUTR119.",https://www.ratemyprofessors.com/professor/2474580
NUTR-UE 119,Nutrition and Health,Kristie Lancaster at New York University | Rate My Professors,"Kristie Lancaster is a professor in the Nutrition & Foods department at New York University ... NUTRUE119. Nov 12th, 2018. Quality. 3.0. Difficulty. 3.0.",https://www.ratemyprofessors.com/professor/1903207
NUTR-UE 1068,Introduction to Human Physiology,Brittani Morris at New York University | Rate My Professors,"NUTRUE1068. Apr 6th, 2023. Quality. 1.0. Difficulty. 5.0. NUTRUE1068. Apr 6th, 2023 ... It's clear NYU doesn't have quality control when it comes to professors.",https://www.ratemyprofessors.com/professor/2798904
NUTR-UE 1068,Introduction to Human Physiology,Domingo Pinero at New York University | Rate My Professors,"NUTR1068. Feb 25th, 2025. Quality. 2.0. Difficulty. 3.0. NUTR1068. Feb 25th, 2025 ... NUTRUE1068. May 13th, 2024. Quality. 2.0. Difficulty. 5.0. NUTRUE1068. May ...",https://www.ratemyprofessors.com/professor/563408
PHYS-UA 13,Observational Astronomy,Michael Blanton at New York University | Rate My Professors,"Michael Blanton is a professor in the Arts & Sciences department at New York University ... PHYSUA13. Dec 19th, 2022. Quality. 5.0. Difficulty. 2.0. PHYSUA13. Dec ...",https://www.ratemyprofessors.com/professor/2569245
PHYS-UA 15,Introduction to Cosmology,Roman Scoccimarro at New York University | Rate My Professors,"Roman Scoccimarro is a professor in the Physics department at New York University ... PHYS-UA15. Feb 1st, 2025. Quality. 4.0. Difficulty. 4.0. PHYS-UA15. Feb 1st, ...",https://www.ratemyprofessors.com/professor/2811801
PHYS-UA 15,Introduction to Cosmology,Jeremy Tinker at New York University | Rate My Professors,"I know all core classes at NYU are horrendous for the most part, but this ... PHYS15. Dec 13th, 2018. Quality. 3.0. Difficulty. 3.0. PHYS15. Dec 13th, 2018.",https://www.ratemyprofessors.com/professor/2335402
PHYS-UA 20,"20th Cent Concepts of Space, Time, & Matter",Tycho Sleator at New York University | Rate My Professors,"Tycho Sleator is a professor in the Physics department at New York University ... PHYS20. Mar 8th, 2016. Quality. 2.0. Difficulty. 4.0. PHYS20. Mar 8th, 2016. For ...",https://www.ratemyprofessors.com/professor/544180
PHYS-UA 20,"20th Cent Concepts of Space, Time, & Matter",Frank Moscatelli at New York University | Rate My Professors,"Frank Moscatelli is a professor in the Physics department at New York University ... physua20. May 12th, 2024. Quality. 5.0. Difficulty. 3.0. physua20. May 12th, ...",https://www.ratemyprofessors.com/professor/2864013
PHYS-UA 120,Dynamics,David Pine at New York University | Rate My Professors,"David Pine is a professor in the Physics department at New York University ... PHYSUA120. Jan 18th, 2025. Quality. 5.0. Difficulty. 3.0. PHYSUA120. Jan 18th, 2025.",https://www.ratemyprofessors.com/professor/2916190
